,open,close,high,low,trade value,turnover,return
133,50.25,48.49,50.25,48.41,33370.0,0.9881,-0.032521947326416556
134,49.86,47.94,49.86,46.86,25862.0,0.7866,-0.011342544854609282
135,47.64,48.18,48.26,47.2,10010.0,0.3035,0.005006257822277815
136,47.97,48.9,49.37,47.97,7476.0,0.2215,0.014943960149439661
137,48.86,48.38,49.27,47.97,21735.0,0.6515,-0.01063394683026575
138,47.97,47.79,48.7,47.66,22860.0,0.69,-0.012195121951219634
139,47.45,48.6,48.78,47.35,13978.0,0.4216,0.016949152542372836
140,48.46,48.05,48.46,47.64,6399.3,0.1929,-0.011316872427983626
141,47.81,48.44,48.62,47.34,7857.2,0.2363,0.008116545265348662
142,47.99,48.7,48.72,47.99,7317.4,0.2185,0.005367464905037256
143,48.31,49.04,49.11,48.21,7820.3,0.2321,0.006981519507186729
144,48.78,48.7,48.94,48.46,3119.9,0.0927,-0.006933115823817171
145,48.0,48.93,48.94,48.0,8383.2,0.2506,0.004722792607802839
146,48.6,48.96,49.07,48.29,11135.0,0.3307,0.0006131207847945852
147,48.59,48.55,48.96,48.54,5336.4,0.1586,-0.008374183006536029
148,48.47,48.78,48.94,48.08,5905.1,0.1752,0.004737384140061973
149,49.11,48.98,49.29,48.62,16625.0,0.49,0.0041000410004099486
150,48.78,48.65,49.11,48.47,17653.0,0.5237,-0.006737443854634484
151,48.65,48.7,49.11,48.46,16869.0,0.5006,0.0010277492291881352
152,48.46,47.5,48.46,47.4,16840.0,0.5097,-0.024640657084188944
153,47.16,47.73,47.81,47.16,8339.9,0.2543,0.004842105263157759
154,47.97,47.9,47.99,47.32,4768.6,0.145,0.003561701236119985
155,47.48,48.02,48.13,47.48,6353.3,0.1921,0.0025052192066807866
156,47.95,47.9,48.21,47.64,3898.9,0.1178,-0.002498958767180426
157,47.48,47.11,47.79,46.83,10127.0,0.3105,-0.01649269311064716
158,47.63,47.43,48.62,46.99,7032.5,0.2146,0.0067926130333262336
159,47.24,46.54,47.24,46.51,10907.0,0.3377,-0.018764495045329954
160,46.29,46.65,46.67,45.38,12429.0,0.3912,0.0023635582294800894
161,46.34,46.62,46.68,45.69,7734.1,0.2427,-0.0006430868167203174
162,46.07,46.68,46.83,46.07,6677.8,0.2069,0.0012870012870014325
163,47.11,47.16,47.35,46.83,7621.1,0.2343,0.010282776349614275
164,47.27,48.03,48.13,47.19,13767.0,0.4176,0.018447837150127322
165,48.05,48.23,48.78,47.73,30324.0,0.9077,0.00416406412658743
166,48.13,48.26,48.46,47.64,6519.4,0.1962,0.0006220194899440035
167,48.26,47.81,48.26,47.16,9459.2,0.2883,-0.0093244923331951
168,47.81,48.52,48.78,47.16,18071.0,0.5447,0.014850449696716117
169,48.42,50.65,50.72,48.16,35118.0,1.0145,0.043899422918384
170,50.57,51.43,52.03,50.41,36214.0,1.02,0.015399802566633758
171,51.66,52.52,52.7,50.59,42077.0,1.1734,0.021193855726229893
172,52.93,53.16,53.66,52.38,39168.0,1.0689,0.012185833968012094
173,52.18,52.52,53.63,52.18,27223.0,0.7446,-0.012039127163280594
174,52.08,52.29,52.83,52.08,13965.0,0.3866,-0.004379284082254409
175,52.21,54.34,54.51,52.21,58220.0,1.5709,0.03920443679479835
176,54.64,56.08,58.36,54.64,108000.0,2.7546,0.03202061096797926
177,56.83,56.8,58.51,56.1,21339.0,0.5394,0.012838801711840153
178,56.73,58.21,58.49,56.59,23949.0,0.5993,0.024823943661971937
179,58.21,57.79,58.83,57.56,48865.0,1.2117,-0.007215255110805785
180,57.73,58.49,58.67,56.18,26231.0,0.655,0.012112822287593028
181,57.71,59.37,59.43,56.93,34809.0,0.8596,0.015045306890066668
182,59.43,60.44,61.99,59.43,38271.0,0.9067,0.018022570321711395
